Company,Job_Title,URL,Effective_URL,HTTP_Code,Reason
Tagup,Director of Marketing at Tagup,https://jobs.lever.co/tagup/6f9b74a3-1efc-4bfc-b3db-95be160b7d8f,https://jobs.lever.co/tagup/6f9b74a3-1efc-4bfc-b3db-95be160b7d8f,404,HTTP 404
The Quality Group,Country Manager Spain - ESN at The Quality Group,https://job-boards.greenhouse.io/thequalitygroupgmbh1/jobs/4602318101,https://job-boards.greenhouse.io/thequalitygroupgmbh1?error=true,200,Greenhouse redirect to ?error=true (job removed)
TRAILS,Director of Strategic Operations at TRAILS,https://job-boards.greenhouse.io/trails/jobs/4672786006,https://job-boards.greenhouse.io/trails?error=true,200,Greenhouse redirect to ?error=true (job removed)
Transcarent,Chief of Staff at Transcarent,https://job-boards.greenhouse.io/transcarent/jobs/5690641004,https://job-boards.greenhouse.io/transcarent,301,Redirected away from /jobs/{id}
Triple Whale,Head of EMEA at Triple Whale,https://job-boards.greenhouse.io/triplewhale/jobs/5126102008,https://job-boards.greenhouse.io/triplewhale?error=true,200,Greenhouse redirect to ?error=true (job removed)
TTEC Digital,"Director, Strategy & Operations at TTEC Digital",https://jobs.lever.co/ttecdigital/1f0b6a2f-4cb9-4014-8cbf-a5ebb90a2e34,https://jobs.lever.co/ttecdigital/1f0b6a2f-4cb9-4014-8cbf-a5ebb90a2e34,404,HTTP 404
Twilio,"Senior Director, Strategic Vertical ISV Partners North America at Twilio",https://boards.greenhouse.io/twilio/jobs/4503457,https://job-boards.greenhouse.io/twilio?error=true,200,Greenhouse redirect to ?error=true (job removed)
Unknown,Hostinger Country Director,https://app.welcometothejungle.com/jobs/hcJEPiMA,https://app.welcometothejungle.com/jobs/hcJEPiMA,404,HTTP 404
Upbound,Head of Alliances and Partnerships (REMOTE) at Upbound,https://job-boards.greenhouse.io/upbound/jobs/5678055004,https://job-boards.greenhouse.io/upbound?error=true,200,Greenhouse redirect to ?error=true (job removed)
Upbound,Head of Alliances and Partnerships (REMOTE) at Upbound (ext),https://job-boards.greenhouse.io/upboundext/jobs/5678058004,https://job-boards.greenhouse.io/upboundext?error=true,200,Greenhouse redirect to ?error=true (job removed)
Via,Operations Chief of Staff at Via,https://job-boards.greenhouse.io/via/jobs/7918405002,https://job-boards.greenhouse.io/via?error=true,200,Greenhouse redirect to ?error=true (job removed)
Wealthsimple,"Director, Strategic Partnerships at Wealthsimple",https://jobs.lever.co/wealthsimple/08071347-6b5a-488e-8c3a-7a662bf57561,https://jobs.lever.co/wealthsimple/08071347-6b5a-488e-8c3a-7a662bf57561,404,HTTP 404
Webflow,"Senior Sales Operations Manager, EMEA at Webflow",https://job-boards.greenhouse.io/webflow/jobs/7659051,https://job-boards.greenhouse.io/webflow?error=true,200,Greenhouse redirect to ?error=true (job removed)
Wellhub,Strategic Partnerships Director at Wellhub,https://job-boards.greenhouse.io/gympass/jobs/8444091002,https://job-boards.greenhouse.io/gympass?error=true,200,Greenhouse redirect to ?error=true (job removed)
WorldQuant,Strategy and Operations Head – WQBRAIN US at WorldQuant,https://job-boards.greenhouse.io/worldquant/jobs/4441482006,https://job-boards.greenhouse.io/worldquant?error=true,200,Greenhouse redirect to ?error=true (job removed)
WPP,"Head of Strategy & Transformation, Technology Operations - Americas at WPP",https://job-boards.greenhouse.io/wpp/jobs/8068111002,https://job-boards.greenhouse.io/wpp?error=true,200,Greenhouse redirect to ?error=true (job removed)
Xapo Bank,Regional Head - Client Coverage Group - EMEA (Remote - Work from Anywhere) at Xapo Bank,https://job-boards.greenhouse.io/xapo61/jobs/7579748003,https://job-boards.greenhouse.io/xapo61?error=true,200,Greenhouse redirect to ?error=true (job removed)
Xsolla,"Senior Business Development Manager — Latin America, Fintech at Xsolla",https://jobs.lever.co/xsolla/cf1859f9-9b0d-4dd5-a2db-bf5050353f95,https://jobs.lever.co/xsolla/cf1859f9-9b0d-4dd5-a2db-bf5050353f95,404,HTTP 404
You.com,Strategy and Operations Lead at You.com,https://job-boards.greenhouse.io/youcom/jobs/4988983008,https://job-boards.greenhouse.io/youcom?error=true,200,Greenhouse redirect to ?error=true (job removed)
Yuno,Head of Partnerships - Europe at Yuno,https://jobs.lever.co/yuno/12b94079-5efe-4102-96e7-60d8850d0517,https://jobs.lever.co/yuno/12b94079-5efe-4102-96e7-60d8850d0517,404,HTTP 404
